"Zaman damgası","What is your gender?","What is your age ?","Please enter your department ? (STAT, METE, ME etc.)","What is your faculty ?","What is your educational level ?","What is your CGPA ? (Please CHOOSE ""pass the question"" if you are a PREPARATION student.)","What is your individual monthly income ? (TL.)","How happy do you feel right now ?","How do you feel about the department you are in ?","How happy are you with your monthly income ?","How happy are you with the faculty members working in your department ?","How do you feel about living in Ankara ?","How do you feel about the online courses during the pandemic process ?","How do you feel about your social environment ?","How do you feel about activities that your university offers you ? [Sport Facilities]","How do you feel about activities that your university offers you ? [Spring Fest]","How do you feel about activities that your university offers you ? [University Clubs]","How do you feel about activities that your university offers you ? [University Cafeteria]","Please mark the most appropriate options: [I mostly think about past.]","Please mark the most appropriate options: [I like dark areas.]","Please mark the most appropriate options: [I mostly spend time with myself.]","Please mark the most appropriate options: [I mostly rely on people.]","Please mark the most appropriate options: [I rarely participate in social activities.]","Please mark the most appropriate options: [I avoid from communicating with strangers.]","Please mark the most appropriate options: [I always feel exhausted.]","Please mark the most appropriate options: [I want to change activities that I do in my leisure time.]","Please mark the most appropriate options: [I am happy with my appearance.]","Please mark the most appropriate options: [I am a pessimistic person. (I always see the bad side of the events.)]"
"2021/12/02 8:39:05 ÖS GMT+2","Male","21 - 25","STAT","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","1000 – 1499","Happy","Happy","Happy","Verry Happy","Happy","Very Unhappy","Happy","Unhappy","Verry Happy","Unhappy","Very Unhappy","Neutral","Strongly Disagree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Agree","Strongly Disagree"
"2021/12/02 8:39:25 ÖS GMT+2","Male","25 +","STAT","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","2000 – 2499","Unhappy","Happy","Happy","Verry Happy","Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Agree"
"2021/12/02 8:43:05 ÖS GMT+2","Male","21 - 25","Statistics","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","0.00 – 999","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Unhappy","Unhappy","Very Unhappy","Agree","Neutral","Strongly Agree","Disagree","Strongly Agree","Neutral","Agree","Agree","Agree","Neutral"
"2021/12/02 8:50:28 ÖS GMT+2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/12/05 8:57:07 ÖS GMT+2","Female","21 - 25","CEIT","Faculty of Education","Undergraduate","3.00 – 3.49","0.00 – 999","Unhappy","Happy","Very Unhappy","Happy","Moderately Happy","Very Unhappy","Very Unhappy","","Verry Happy","Moderately Happy","Very Unhappy","Agree","Agree","Agree","Agree","Disagree","Disagree","Neutral","Agree","Agree","Disagree"
"2021/12/05 8:57:28 ÖS GMT+2","Female","18 - 21","CHE","Faculty of Engineering","Preparation","","0.00 – 999","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Very Unhappy","Moderately Happy","Verry Happy","Verry Happy","Verry Happy","Unhappy","Neutral","Agree","Agree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Disagree"
"2021/12/05 8:57:43 ÖS GMT+2","Female","18 - 21","ECON","Faculty of Economic and Administrative Sciences","Preparation","Pass the question","0.00 – 999","Unhappy","Happy","Unhappy","Happy","Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Happy","Happy","Disagree","Agree","Strongly Agree","Agree","Neutral","Neutral","Disagree","Agree","Disagree","Strongly Disagree"
"2021/12/05 8:57:57 ÖS GMT+2","Male","18 - 21","fle","Faculty of Education","Undergraduate","3.00 – 3.49","1000 – 1499","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Verry Happy","Unhappy","Verry Happy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","","","","","","","","","",""
"2021/12/05 9:00:28 ÖS GMT+2","Female","21 - 25","Eme","Faculty of Education","Undergraduate","3.00 – 3.49","1000 – 1499","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral"
"2021/12/05 9:00:39 ÖS GMT+2","Male","18 - 21","ECE","Faculty of Education","Undergraduate","3.50 – 4.00","0.00 – 999","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Verry Happy","Happy","Verry Happy","Happy","Very Unhappy","Agree","Agree","","Disagree","Strongly Agree","Neutral","Neutral","Disagree","Strongly Agree","Disagree"
